1,악취,あくしゅう,Stench,Puanteur,Duftnote
2,잔비,あめふらし,Drizzle,Crachin,Niesel
3,가속,かそく,Speed Boost,Turbo,Temposchub
4,전투무장,カブトアーマー,Battle Armor,Armurbaston,Kampfpanzer
5,옹골참,がんじょう,Sturdy,Fermeté,Robustheit
6,습기,しめりけ,Damp,Moiteur,Feuchtigkeit
7,유연,じゅうなん,Limber,Échauffement,Flexibilität
8,모래숨기,すながくれ,Sand Veil,Voile Sable,Sandschleier
9,정전기,せいでんき,Static,Statik,Statik
10,축전,ちくでん,Volt Absorb,Absorb Volt,Voltabsorber
11,저수,ちょすい,Water Absorb,Absorb Eau,H2O-Absorber
12,둔감,どんかん,Oblivious,Benêt,Dösigkeit
13,날씨부정,ノーてんき,Cloud Nine,Ciel Gris,Wolke Sieben
14,복안,ふくがん,Compound Eyes,Œil Composé,Facettenauge
15,불면,ふみん,Insomnia,Insomnia,Insomnia
16,변색,へんしょく,Color Change,Déguisement,Farbwechsel
17,면역,めんえき,Immunity,Vaccin,Immunität
18,타오르는불꽃,もらいび,Flash Fire,Torche,Feuerfänger
19,인분,りんぷん,Shield Dust,Écran Poudre,Puderabwehr
20,마이페이스,マイペース,Own Tempo,Tempo Perso,Tempomacher
21,흡반,きゅうばん,Suction Cups,Ventouse,Saugnapf
22,위협,いかく,Intimidate,Intimidation,Bedroher
23,그림자밟기,かげふみ,Shadow Tag,Marque Ombre,Wegsperre
24,까칠한피부,さめはだ,Rough Skin,Peau Dure,Rauhaut
25,불가사의부적,ふしぎなまもり,Wonder Guard,Garde Mystik,Wunderwache
26,부유,ふゆう,Levitate,Lévitation,Schwebe
27,포자,ほうし,Effect Spore,Pose Spore,Sporenwirt
28,싱크로,シンクロ,Synchronize,Synchro,Synchro
29,클리어바디,クリアボディ,Clear Body,Corps Sain,Neutraltorso
30,자연회복,しぜんかいふく,Natural Cure,Médic Nature,Innere Kraft
31,피뢰침,ひらいしん,Lightning Rod,Paratonnerre,Blitzfänger
32,하늘의은총,てんのめぐみ,Serene Grace,Sérénité,Edelmut
33,쓱쓱,すいすい,Swift Swim,Glissade,Wassertempo
34,엽록소,ようりょくそ,Chlorophyll,Chlorophylle,Chlorophyll
35,발광,はっこう,Illuminate,Lumiattirance,Erleuchtung
36,트레이스,トレース,Trace,Calque,Fährte
37,천하장사,ちからもち,Huge Power,Coloforce,Kraftkoloss
38,독가시,どくのトゲ,Poison Point,Point Poison,Giftdorn
39,정신력,せいしんりょく,Inner Focus,Attention,Konzentrator
40,마그마의무장,マグマのよろい,Magma Armor,Armumagma,Magmapanzer
41,수의베일,みずのベール,Water Veil,Ignifu-Voile,Aquahülle
42,자력,じりょく,Magnet Pull,Magnépiège,Magnetfalle
43,방음,ぼうおん,Soundproof,Anti-Bruit,Lärmschutz
